,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
134,Boulder,K,15,ND - D,20.575,0.48,0.84,0.53,-0.0948,-4,-0.76,-1.56742,18.6,NA,NA,0.219,1.7552
135,Boulder,K,16,ND - D,19.78333333,NA,NA,NA,0.0881,7,0.24102,4.05333,13.4,NA,NA,NA,NA
136,Boulder,K,17,ND - D,22.16,1.02,0.07,-0.09,-0.2526,-1,-0.22778,2.45182,12.9,NA,NA,0.268,0.7474
137,Boulder,RC,1,ND - D,16.53571429,NA,NA,NA,0.5599,35,0.08285,7.72351,24.5,4.29,4.7,NA,NA
138,Boulder,RC,2,ND - D,20.07361111,0.55,0.57,1.77,0.1535,2,0.13031,9.58167,10.2,1.1,3.85,-0.182,3.0435
139,Boulder,RC,3,ND - D,19.3925,1.91,1.6,3.17,0.2556,10,0.08,7.90333,6.1,-0.8,0,0.08,6.9356
140,Boulder,RC,4,ND - D,18.675,NA,NA,NA,0.1343,5,-0.07406,2.50774,-6.815,NA,NA,NA,NA
141,Boulder,RC,5,ND - D,19.2625,2.51,1.24,3.2,0.1173,14,-0.05312,-4.63694,7.9,1.1,0,0.091,7.0673
142,Boulder,RC,6,ND - D,19.47321429,NA,NA,NA,0.3042,12,0.2225,-7.04127,4.6,NA,NA,NA,NA
143,Boulder,RC,7,ND - D,20.05625,0.49,0.47,0.52,-0.1775,-9,-0.13575,-7.2586,8.2,3.6,1.7,0.174,1.3025
144,Boulder,RC,8,ND - D,17.6547619,1.6,0.74,2.12,0.0274,8,-0.27857,2.64375,4.3,-1.9,-1.45,0.215,4.4874
145,Boulder,RC,9,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,NA
146,Boulder,RC,10,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,NA
147,Boulder,RC,11,ND - D,20.02375,0.08,-0.25,0.61,-0.1805,-9,0.18,-12.77857,7.7,4.9,3.3,-0.213,0.2595
148,Boulder,RC,12,ND - D,20.54821429,-0.72,-0.46,-1.28,0.2235,4,0.68,3.7375,2.345,NA,NA,0.01,-2.2365
149,Boulder,RC,13,ND - D,20.56964286,0.59,-1.85,2.57,0.0553,8,-0.66875,-2.35778,4.3,NA,NA,-2.052,1.3653
150,Boulder,RC,14,ND - D,18.85833333,0.4,-0.02,0.86,0.0908,9,-0.63334,-3.23929,2.42,0.5,0.4,-0.085,1.3308
151,Boulder,RC,15,ND - D,18.87666667,NA,NA,NA,0.009,-6,1.15,-3.83333,14.6,NA,NA,NA,NA
152,Boulder,RC,16,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA
153,Boulder,RC,17,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA
154,Boulder,RM,1,ND - D,20.34375,NA,NA,NA,0.1747,-6,-0.55893,2.2375,3.575,NA,NA,NA,NA
155,Boulder,RM,2,ND - D,19.95,NA,NA,NA,NA,14,NA,NA,73.2,NA,NA,NA,NA
156,Boulder,RM,3,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA
157,Boulder,RM,4,ND - D,20.76142857,NA,NA,NA,-0.0605,-12,NA,NA,8.6,NA,NA,NA,NA
158,Boulder,RM,5,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA
159,Boulder,RM,6,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-45,NA,NA,NA,NA
160,Boulder,RM,7,ND - D,20.5675,-0.68,-1.47,-2.42,-0.1146,-13,NA,NA,-14.1,1.85,0.95,-0.158,-4.6846
161,Boulder,RM,8,ND - D,21.37875,0.2,-0.15,0.71,-0.0289,-1,-0.36047,-3.73971,12.9,1.5,-0.2,-0.18,0.7311
162,Boulder,RM,9,ND - D,20.67625,0.84,0.28,3.49,0.1454,-4,0.32917,3.42714,9.35,-4,-1.1,-0.579,4.7554
163,Boulder,RM,10,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-55,NA,NA,NA,NA
164,Boulder,RM,11,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA
165,Boulder,RM,12,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,65.6,NA,NA,NA,NA
166,Boulder,RM,13,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-45.4,NA,NA,NA,NA
167,Boulder,RM,14,ND - D,19.95277778,1.57,0.64,3.42,0.1641,5,0.38846,-2.72333,-0.9,-1.25,-3.15,-0.315,5.7941
168,Boulder,RM,15,ND - D,21.07916667,0.65,0.47,2.72,0.1233,3,-0.12159,3.29846,20,0.15,-0.6,-0.251,3.9633
169,Boulder,RM,16,ND - D,21.96666667,0.91,0.89,3.47,0.2059,11,0.45,-0.63718,23.62,-2,0.35,-0.382,5.4759
170,Boulder,RM,17,ND - D,19.16,0.87,0.78,3.2,-0.0234,-3,0.37333,-0.09566,8.99,-4.35,-4.35,-0.344,4.8266
171,New Mexico,SEV,1,ND - D,18.95625,3.14,0.77,3.25,0.413,3,0.32163,3.38444,23.4,NA,NA,0.228,7.573
172,New Mexico,SEV,2,ND - D,18.865,NA,NA,NA,-0.0444,0,-0.53333,-4.33572,12.4,NA,NA,NA,NA
173,New Mexico,SEV,3,ND - D,18.37,NA,NA,NA,0.072,-2,0.22,3.73571,20.6,NA,NA,NA,NA
174,New Mexico,SEV,4,ND - D,20.08125,NA,NA,NA,0.0469,1,-0.00972,-2.80273,11.1,NA,NA,NA,NA
175,New Mexico,SEV,5,ND - D,18.20333333,0.99,0.9,5.28,0.5047,24,-0.28,-0.28794,9.6,NA,NA,-0.057,7.6747
176,New Mexico,SEV,6,ND - D,17.28333333,NA,NA,NA,-0.4789,3,0.53929,-0.53889,20.6,NA,NA,NA,NA
177,New Mexico,SEV,7,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,New Mexico,SEV,8,ND - D,17.72166667,1.03,0.19,2.23,0.3182,0,0.25556,-1.1,21.4,2.5,2.2,0.019,3.7682
179,New Mexico,SEV,9,ND - D,18.10833333,2.03,0.42,2.52,-0.0699,9,0.28309,5.56316,19.2,1.8,-1.25,0.126,4.9001
180,New Mexico,SEV,10,ND - D,19.10833333,NA,NA,NA,-0.0469,0,0.1625,-4.22,11,NA,NA,NA,NA
181,New Mexico,SEV,11,ND - D,18.40357143,NA,NA,NA,0.7939,1,0.61889,-0.89318,7.3,NA,NA,NA,NA
182,New Mexico,SEV,12,ND - D,16.54166666,NA,NA,NA,0.7954,4,0.58961,0.9875,9.5,NA,NA,NA,NA
