"","pop","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","abbv","col","orig","annual_AI_CGIAR","legend.order"
"69","Kelsall",-0.780977508649897,-0.791027421822796,0.679984642333842,0.563369590747191,4.59209958762036,-2.04598582397407,0.994710558010475,-1.5835564420697,0.180493537382811,"K","#72ADD1","#F06C45",0.3806,"M"
"70","Kelsall",-0.915868780125108,-0.457093976974539,1.00254375442576,0.833964248027903,4.04111535739451,-1.99070125824826,1.68911957469913,-2.17281531076326,0.239270238460878,"K","#72ADD1","#F06C45",0.3806,"M"
"71","Kelsall",-1.13719333212567,-1.10387444995748,0.583361708225248,0.830641170860666,5.13624926272055,-2.39291393901067,1.40093587301122,-2.26513243292409,-0.975775888348955,"K","#72ADD1","#F06C45",0.3806,"M"
"72","Kelsall",-1.61456348541277,-0.42536816345867,0.699058705586196,0.754564947033149,3.39331479288206,-0.255762169572233,0.536117349095336,-1.59671465322395,0.227391170937099,"K","#72ADD1","#F06C45",0.3806,"M"
"73","Kelsall",-0.136821145067684,-0.579088678941457,0.545888189304838,0.985973482737845,1.81847709222552,-0.577395607878671,-0.2774309874234,1.22958204324729,0.91357054969376,"K","#72ADD1","#F06C45",0.3806,"M"
"74","Kelsall",-0.867592044402155,-1.61175078857262,0.478745703069688,0.255786943978076,0.782213760720511,0.113860597942577,0.408796873550944,0.388972808267577,-0.643488340857777,"K","#72ADD1","#F06C45",0.3806,"M"
"75","Kelsall",-0.486301081116916,-0.502612957571698,-1.17095498480656,0.789791602714898,1.24418218564494,-0.897039939418789,0.352383860090498,0.424698340828938,-0.33207024088346,"K","#72ADD1","#F06C45",0.3806,"M"
"76","Kelsall",-0.766101818954205,-1.36700235198755,0.527918238502312,0.922687601825456,-0.276115877724722,-0.233737563696673,-0.10581697448446,0.282309043761092,-0.109111170787453,"K","#72ADD1","#F06C45",0.3806,"M"
"77","Kelsall",-1.75570274271682,-0.357879926567306,2.18495810592604,0.0740557566844053,2.05079588294099,-1.50761782726326,-0.386281354698042,-0.759299396789985,-1.04599668234325,"K","#72ADD1","#F06C45",0.3806,"M"
"78","Kelsall",-1.12681999187705,0.255916414671504,0.918071053734194,-0.801364777375845,0.451227961276166,-0.16113849831045,0.0891963579853553,-0.15744709573895,0.0706980823609315,"K","#72ADD1","#F06C45",0.3806,"M"
"79","Kelsall",-1.28306255084768,-2.06567259088405,0.926482001978723,1.40338879473583,2.70725675825431,-0.350445644297204,0.502532177811115,-0.863062208957568,-0.68326446125416,"K","#72ADD1","#F06C45",0.3806,"M"
"80","Rabbit Mountain",1.69005337514461,0.0157570115196915,-2.00666409633799,2.05443650608265,-0.485700965805517,-1.15038335341574,1.82731272389803,1.42321261564545,0.412172751781479,"RM","#A2D48E","#FE870D",0.3548,"H"
"81","Rabbit Mountain",-0.262845210128809,-0.351725919896611,-0.988023779265065,0.577226484506542,0.0458238198899182,-0.395518342506172,0.455192233934082,0.764662676385808,0.492628069528822,"RM","#A2D48E","#FE870D",0.3548,"H"
"82","Rabbit Mountain",0.00698019325890177,0.241038958034918,-0.703778293180624,-0.161553906190638,-0.0939596306102369,-0.00965007194613524,-0.0939577004888348,-0.193136426939658,-0.336829600070285,"RM","#A2D48E","#FE870D",0.3548,"H"
"83","Rabbit Mountain",-0.518718463102923,0.361631748112832,-0.421083789387123,-0.452086646085686,-0.736739695827132,0.803917706089684,1.31632313356822,0.505407132229591,0.263661532280715,"RM","#A2D48E","#FE870D",0.3548,"H"
"84","Rabbit Mountain",0.280004601907742,-1.05783864060441,-1.38619180783632,1.80332506698206,0.348513531873402,-0.297968943190655,0.574744757929741,0.733084351246442,-1.20790466122735,"RM","#A2D48E","#FE870D",0.3548,"H"
"85","Rabbit Mountain",0.637789776928873,0.284539766257774,-1.95332376204471,0.872917783641584,-0.0638879039650287,1.03916033312773,2.33506964357902,4.48182357887652,-3.1662610865485,"RM","#A2D48E","#FE870D",0.3548,"H"
"86","Rabbit Mountain",4.0575783717518,0.171262951980678,0.0525199212309674,0.287731041060698,-1.67801423023634,1.55644704787152,1.07300251413633,0.712803127452867,0.0286195671851937,"RM","#A2D48E","#FE870D",0.3548,"H"
"87","Rabbit Mountain",-0.490888997607459,-0.0733710171321644,-0.797216090713109,0.314876895200381,0.339497511003387,0.308978625492922,0.931497410467296,-0.155652946324395,-0.0864901212233201,"RM","#A2D48E","#FE870D",0.3548,"H"
"88","Rabbit Mountain",1.0993789430362,-0.622568155000293,-0.566732502812827,-0.246298039459219,-0.794586580182802,-0.0440274578928534,1.44877310889354,1.9655968326003,-1.01255149979487,"RM","#A2D48E","#FE870D",0.3548,"H"
"89","Rabbit Mountain",1.23292961862705,-1.77795850341773,-1.551935603321,1.68009865252027,-0.655291122709728,-0.000809742327159718,2.04522595019419,1.69873635373159,-1.29632090864948,"RM","#A2D48E","#FE870D",0.3548,"H"
"90","Rabbit Mountain",-0.643883577413739,-1.55823357046414,-0.502660322827616,-0.34574574850735,-0.189476248390592,0.520607587475695,1.64771027680418,0.697260232879474,-0.513080463431267,"RM","#A2D48E","#FE870D",0.3548,"H"
"91","Rabbit Mountain",-0.0518624784626019,0.41075629126313,-0.64829962189228,1.5607947579551,-0.659452306545105,0.707190767271268,1.28403745499055,0.496482633150671,-0.385701112204037,"RM","#A2D48E","#FE870D",0.3548,"H"
"92","Rabbit Mountain",1.91354163618388,-0.579121467096949,-0.161990372948246,1.87977306282532,0.750039709673611,0.23114252999324,1.52900625124986,0.910262271372066,-0.33578510504874,"RM","#A2D48E","#FE870D",0.3548,"H"
"93","Rabbit Mountain",0.137578456141753,1.01855097116406,-2.09368391146462,2.67909170887113,-1.38398526826176,-1.42395277620416,2.86653636623851,2.31261101341993,-0.354460399863488,"RM","#A2D48E","#FE870D",0.3548,"H"
"94","Rabbit Mountain",0.964361500422543,0.40357144652011,-0.869438316288889,1.4120995243337,-1.31109241942473,0.309429974032933,4.4793974227349,3.46850089220706,-3.20709725826575,"RM","#A2D48E","#FE870D",0.3548,"H"
"95","Rock Creek",-2.90132041282812,-2.83269115870224,-0.641947678599946,0.608087084066794,2.12138004478678,1.51287804751698,-0.0180588720877643,-0.480761087853461,0.12342612511931,"RC","#399F2F","#E19B78",0.35,"F"
"96","Rock Creek",-3.10090088391746,-3.79912668178727,-3.28980353437205,-1.66166735555426,-0.88931789239573,-0.544944326958641,-0.207224695480173,-0.288946487554181,0.422703610967202,"RC","#399F2F","#E19B78",0.35,"F"
"97","Rock Creek",-2.56648540556664,-4.88118868516172,-3.50976103885769,-0.891036637190268,-0.985203842446912,-1.06186076412335,-1.44029373646057,-0.121949398337303,-0.160599305308327,"RC","#399F2F","#E19B78",0.35,"F"
"98","Rock Creek",-4.23088662741793,-5.15816023617406,-2.42611124141228,-2.39735533931145,-0.74785056588696,0.838505691974148,-0.862302688996739,0.00173829546995541,0.851740146606014,"RC","#399F2F","#E19B78",0.35,"F"
"99","Rock Creek",-3.070483546292,-3.77740868158471,-1.00298782346189,0.194625978742674,-1.51823671676091,0.534257952309752,-0.472806647320105,0.330244301177318,-0.0110427824186421,"RC","#399F2F","#E19B78",0.35,"F"
"100","Rock Creek",-1.07472119758064,-1.14037905614943,-1.37250251577843,0.223467711485149,-0.693342637598896,0.0773734853184771,0.880143166521772,-0.510804746822249,-0.0990103817816648,"RC","#399F2F","#E19B78",0.35,"F"
"101","Rock Creek",-3.28447381182166,-2.85543283446886,-0.66694403189638,-2.15068623723931,-1.19456031531012,-0.387914834824526,1.12057945959739,0.414993042148939,-0.42223728721809,"RC","#399F2F","#E19B78",0.35,"F"
"102","Rock Creek",-2.89356189811943,-3.10599471051377,-1.67810260744796,-0.321330833267757,0.0978587093134104,-1.64041083174359,-1.02366240121332,-1.09654143375868,0.164824361932318,"RC","#399F2F","#E19B78",0.35,"F"
"103","Rock Creek",-2.70649699298924,-5.23952843837397,-3.69464714179159,-0.0770405319744008,-1.94179461711946,-1.12251308339428,0.612820097081051,-1.63388726150367,1.37082635473746,"RC","#399F2F","#E19B78",0.35,"F"
"104","Rock Creek",-3.14645760525686,-2.17316675739579,-0.323246133338227,0.251330401222537,1.08854187884606,0.489866786937162,-2.51574998249522,1.07471967753044,1.31898977556796,"RC","#399F2F","#E19B78",0.35,"F"
"105","Rock Creek",-0.793043496719991,-3.80985631890964,-3.07426619399306,-1.80568040065409,0.330059639936083,0.190958474740569,0.212278856605649,0.716828271088622,0.848194588063129,"RC","#399F2F","#E19B78",0.35,"F"
"106","Rock Creek",-3.35272250340379,-4.38090010741126,-3.27512114460462,-0.28986974192808,-1.30738283052617,1.30321399465261,0.584830287852529,-0.945825824399458,-0.38976289345272,"RC","#399F2F","#E19B78",0.35,"F"
"107","Rock Creek",-3.93467988775154,-5.84179837053581,-2.07146994029288,-0.470107949404451,-1.97375796282729,0.685069765362408,-0.488658648149931,-0.419805409631365,-1.31291354554391,"RC","#399F2F","#E19B78",0.35,"F"
"108","Rock Creek",-2.88589407949414,-4.90012865711751,-2.63250500744287,-1.64642484793578,-1.51300273048569,-0.734732526991978,-1.49530700178609,-0.485799435599979,-0.516760551814169,"RC","#399F2F","#E19B78",0.35,"F"
"109","Rock Creek",-2.86283503605944,-5.48210244581749,-2.81043460765462,0.0344206720864326,-1.13873615362973,-0.948007120386472,-0.873661987380749,-0.662686083985906,-0.18489026647029,"RC","#399F2F","#E19B78",0.35,"F"
"110","Steele",-0.315309782217885,0.293392047279872,-0.201186560561632,-0.481246651759476,0.0320229854537363,0.0900034184487673,0.282414861376997,0.292745278109354,0.460238485957749,"ST","#5EB54C","#C7B699",0.35,"G"
"111","Steele",-0.624553024754669,1.28594041026913,-0.0988573238867549,0.152584879977837,-0.515169473176878,0.0715878319453327,-0.148050485697733,-1.32908614347969,-0.946103137638311,"ST","#5EB54C","#C7B699",0.35,"G"
"112","Steele",-1.43480700476863,1.09408180110354,-0.417292160207031,-0.474616531512876,0.22196828357979,0.46040700599694,-0.0529022332567469,-0.57611380336552,-0.0927647664954651,"ST","#5EB54C","#C7B699",0.35,"G"
"113","Steele",0.198563440142257,2.70425613599861,1.3753896117497,0.954845984902346,-0.868772867036968,0.35760758795086,0.29893648489706,-1.2674685761463,1.15997017361207,"ST","#5EB54C","#C7B699",0.35,"G"
"114","Steele",-0.117650642619887,2.07674376852089,-1.39466725571906,0.128152797916519,-1.27286888411091,0.546280494844926,0.62842890957997,-0.340398685603215,0.436799129743959,"ST","#5EB54C","#C7B699",0.35,"G"
"115","Steele",-1.91335202114724,2.27838124455298,-0.239035009632018,0.977623301706953,-2.05725444170552,2.7825348356685,1.70800301776841,-3.48395045006303,2.41569141971795,"ST","#5EB54C","#C7B699",0.35,"G"
"116","Steele",-0.481525261507409,2.34363023161361,-0.203051011048984,0.863833099162014,-2.32975038626777,-0.214949916446381,2.52233317550024,-4.73135577498279,1.76861122571583,"ST","#5EB54C","#C7B699",0.35,"G"
"117","Steele",-1.72409990588571,1.25372967352158,0.40000860847798,0.638515472456134,-1.54890924284462,0.365083922939033,0.246398783861339,0.178987026172673,-0.384549758896145,"ST","#5EB54C","#C7B699",0.35,"G"
"118","Steele",-2.01816798696175,1.87737453971932,0.588901859251255,-0.887796007532873,-2.8656994222051,0.14471333600218,1.94568517305319,-2.12199403441184,-0.557114942917289,"ST","#5EB54C","#C7B699",0.35,"G"
"119","Steele",-0.634816795445593,1.33687523685438,-0.301584982194542,-0.0704125613408204,-0.609405794315614,0.628782955903723,0.130685268482239,-0.108325238054524,-0.00277975461822621,"ST","#5EB54C","#C7B699",0.35,"G"
"120","Steele",-0.238060494878805,1.21289358016835,0.38192334029915,0.664937363956967,-0.0384180585630109,0.789065373858071,0.956765193609684,-1.32220670252858,1.25830011589733,"ST","#5EB54C","#C7B699",0.35,"G"
"121","Steele",-1.22756331058771,1.22317118630118,-1.19835069521763,0.514596243657284,-1.27791750947652,1.3753520875692,0.799301010427461,-1.92504452861294,-1.05099360692722,"ST","#5EB54C","#C7B699",0.35,"G"
"122","Steele",-0.672614829901052,1.57186018932054,-1.06159260255401,2.35851671029512,-2.63652054449962,-0.95123648272857,1.51471968822705,-1.46244835517882,-0.851446568571622,"ST","#5EB54C","#C7B699",0.35,"G"
"123","Steele",-1.39567571158658,1.70248401857732,0.212878699631632,-1.17956090621957,-1.43069883097909,1.36589383597726,3.06915816199665,-3.43554875256906,1.06301601680777,"ST","#5EB54C","#C7B699",0.35,"G"
"124","Steele",-1.17219517503965,1.44040248699501,0.359918133651785,-0.157431815379853,-2.01680810928732,1.53330695455192,3.42104310532022,-1.87798797474963,1.17916975074124,"ST","#5EB54C","#C7B699",0.35,"G"
"125","Walker Ranch",10.9004237922341,-0.760149566910356,-0.820709994638483,-0.969512149430256,-0.394369693519318,-0.173820950242778,-0.85569381692484,0.369243865392246,-0.0439104667957984,"WR","#A6CEE3","#E6CB75",0.4254,"N"
"126","Walker Ranch",8.87055098397467,0.583150277008972,-0.187727960632387,-1.18867804876208,-0.527195286426221,-0.648321464613859,-0.211546819703246,-1.34614141141377,-0.0131497066901213,"WR","#A6CEE3","#E6CB75",0.4254,"N"
"127","Walker Ranch",8.89192751635242,-0.749463491612924,0.373572421364363,-1.056247316774,-0.395559887329999,0.205181514099887,-0.743242772159902,0.114571344749228,-0.41867353915585,"WR","#A6CEE3","#E6CB75",0.4254,"N"
"128","Walker Ranch",8.38925025627611,-0.600285750904891,-0.620437938818902,-0.371810133856088,-0.715467012014543,0.438586340494778,0.126027295029022,0.0723811980011287,0.46823715002851,"WR","#A6CEE3","#E6CB75",0.4254,"N"
"129","Walker Ranch",11.3525109723345,0.0559647445598312,0.117133288411591,-1.26525268346007,-0.794131891143854,0.280798246877065,-0.318747524683089,-0.125171073465897,0.231598632855792,"WR","#A6CEE3","#E6CB75",0.4254,"N"
"130","Walker Ranch",8.19678148370214,-0.409618541274647,-1.41742038896339,1.06536361661932,1.18848090827558,-0.229809323685057,0.298938971931434,-0.0748610384450358,0.111905967935439,"WR","#A6CEE3","#E6CB75",0.4254,"N"
